203.0,419.0,1.0
240.0,380.0,1.0
197.0,289.0,1.0
99.0,468.0,0.0
392.0,161.0,1.0
62.0,241.0,0.0
272.0,335.0,1.0
167.0,125.0,0.0
249.0,306.0,0.0
310.0,211.0,1.0
187.0,395.0,1.0
256.0,372.0,1.0
294.0,222.0,0.0
267.0,376.0,0.0
287.0,368.0,1.0
263.0,320.0,1.0
65.0,270.0,0.0
80.0,182.0,1.0
267.0,360.0,1.0
286.0,264.0,0.0
55.0,251.0,1.0
249.0,110.0,1.0
225.0,85.0,0.0
58.0,238.0,1.0
242.0,295.0,0.0
48.0,234.0,1.0
165.0,232.0,0.0
204.0,54.0,1.0
298.0,340.0,0.0
38.0,12.0,0.0
273.0,116.0,1.0
271.0,359.0,0.0
39.0,221.0,1.0
42.0,250.0,1.0
259.0,100.0,1.0
271.0,368.0,1.0
115.0,341.0,0.0
164.0,35.0,1.0
41.0,245.0,1.0
198.0,425.0,1.0
58.0,232.0,1.0
246.0,104.0,0.0
168.0,355.0,1.0
49.0,225.0,0.0
294.0,238.0,0.0
219.0,227.0,1.0
50.0,232.0,1.0
237.0,374.0,1.0
290.0,222.0,0.0
192.0,449.0,0.0
183.0,441.0,0.0
251.0,97.0,0.0
218.0,70.0,1.0
60.0,247.0,0.0
174.0,229.0,1.0
223.0,411.0,1.0
255.0,124.0,0.0
287.0,226.0,1.0
53.0,238.0,1.0
261.0,158.0,0.0
52.0,233.0,1.0
46.0,258.0,0.0
141.0,270.0,0.0
52.0,242.0,0.0
296.0,346.0,1.0
219.0,403.0,1.0
143.0,19.0,1.0
231.0,399.0,0.0
239.0,84.0,0.0
45.0,235.0,0.0
48.0,228.0,1.0
42.0,235.0,1.0
52.0,474.0,0.0
80.0,471.0,1.0
184.0,286.0,1.0
219.0,76.0,1.0
233.0,410.0,0.0
180.0,447.0,0.0
258.0,91.0,1.0
47.0,251.0,1.0
278.0,172.0,0.0
134.0,82.0,0.0
271.0,165.0,1.0
304.0,243.0,1.0
45.0,250.0,1.0
194.0,44.0,1.0
20.0,139.0,0.0
42.0,246.0,1.0
192.0,44.0,0.0
140.0,296.0,1.0
313.0,280.0,1.0
